Setup sorting test array at 0x300: [ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
Loaded ROM: 3584 bytes
First instruction: 0xD2B1
Cycle 1: Executing 0xD2B1 at PC=0x200
Cycle 2: Executing 0x2F0F at PC=0x202
Cycle 3: Executing 0xD5EB at PC=0xF0F
Cycle 4: Executing 0x5DC0 at PC=0xF11
Cycle 5: Executing 0xA094 at PC=0xF15
Cycle 6: Executing 0x2649 at PC=0xF17
Cycle 7: Executing 0xC1A4 at PC=0x649
Cycle 8: Executing 0x3280 at PC=0x64B
Cycle 9: Executing 0x25CE at PC=0x64D
Cycle 10: Executing 0x2201 at PC=0x5CE
Cycle 11: Executing 0xB12F at PC=0x201
Cycle 12: Executing 0x0000 at PC=0x1AF
Cycle 13: Executing 0x0000 at PC=0x1B1
Cycle 14: Executing 0x0000 at PC=0x1B3
Cycle 15: Executing 0x0000 at PC=0x1B5
Cycle 16: Executing 0x0000 at PC=0x1B7
Cycle 17: Executing 0x0000 at PC=0x1B9
Cycle 18: Executing 0x0000 at PC=0x1BB
Cycle 19: Executing 0x0000 at PC=0x1BD
Cycle 20: Executing 0x0000 at PC=0x1BF
Cycle 21: Executing 0x0000 at PC=0x1C1
Cycle 22: Executing 0x0000 at PC=0x1C3
Cycle 23: Executing 0x0000 at PC=0x1C5
Cycle 24: Executing 0x0000 at PC=0x1C7
Cycle 25: Executing 0x0000 at PC=0x1C9
Cycle 26: Executing 0x0000 at PC=0x1CB
Cycle 27: Executing 0x0000 at PC=0x1CD
Cycle 28: Executing 0x0000 at PC=0x1CF
Cycle 29: Executing 0x0000 at PC=0x1D1
Cycle 30: Executing 0x0000 at PC=0x1D3
Cycle 31: Executing 0x0000 at PC=0x1D5
Cycle 32: Executing 0x0000 at PC=0x1D7
Cycle 33: Executing 0x0000 at PC=0x1D9
Cycle 34: Executing 0x0000 at PC=0x1DB
Cycle 35: Executing 0x0000 at PC=0x1DD
Cycle 36: Executing 0x0000 at PC=0x1DF
Cycle 37: Executing 0x0000 at PC=0x1E1
Cycle 38: Executing 0x0000 at PC=0x1E3
Cycle 39: Executing 0x0000 at PC=0x1E5
Cycle 40: Executing 0x0000 at PC=0x1E7
Cycle 41: Executing 0x0000 at PC=0x1E9
Cycle 42: Executing 0x0000 at PC=0x1EB
Cycle 43: Executing 0x0000 at PC=0x1ED
Cycle 44: Executing 0x0000 at PC=0x1EF
Cycle 45: Executing 0x0000 at PC=0x1F1
Cycle 46: Executing 0x0000 at PC=0x1F3
Cycle 47: Executing 0x0000 at PC=0x1F5
Cycle 48: Executing 0x0000 at PC=0x1F7
Cycle 49: Executing 0x0000 at PC=0x1F9
Cycle 50: Executing 0x0000 at PC=0x1FB
Cycle 51: Executing 0x0000 at PC=0x1FD
